id,text
0,don't wanna go home. it's all empty there. maybe i should get a cat but who will care for her when i go to office 
1,going out to enjoy the sunshine again  -x-
2,   good good. i'm ready for my closeup.... 
3,good morning everyone! i'm feeling blessed 
4,    thank you so much  i am really glad you enjoyed it
5,   each day is a blessing.  it can only go uphill from there 
6,"    coolio, i'll send out a text then to everyone and you can go home to bed, tell your boss i said it was ok. "
7,loving that the only thing trending higher than #mesh9 on twitter is ;easter; 
8,got a bag full of blowpops so i'll be happy today. 
9,   coz thats wot the error code says 
10,"     -  gotta love a bit of starbucks, and miley... ideal combination much?"
11,"   no, i dont like running for the bus, when i leave ;on time; i have to run to catch it "
12,   i was just going to put that as my update! 
13,i don't like being sick 
14,ahhhh today is the big dayyy!! taking my drivers test im so scared everyone pray for me 
15,"   yes, i think i like it. i'll let you know later. "
16,business communication iï¿½in sorunlu bi yerde yemek yemesi gerek 
17,   i have some pretty hoity-toity greenhouses in my area. we'll see.  thanks!
18,    i love this thing called twitter dont you? have a great tues 
19,"all did not go to plan, ended up seeing the boat that rocked, and only about an hour and a half later "
20,   i'll better get crackin' on exposing the system as a restful service. just to be consistent w/twitter.  thank you!!!!!!!!!
21,     - is this your work glamour shot 
22,strep throat! ugh! definitely not the greatest thing to have a week before your first out of state show 
23,still waiting for replacement cards - what if i had no money at all??? insurance co. seem to be dragging their heels too 
24,wittering!! yay - i have a follower 
25,   thanks!  it's just what i think. 
26,   i need u to fix ur avatar so people can see how flyy my bff is  i miss u already and i want some sonics...lol!
27,good morning folks! it's a chilly tuesday morning and i'm ready for the day! i think... 
28,   how did your shoot go then?  x
29,   lol...sup mr.handsome 
30,hahahah i think a church choir just walked by... i need company 
31, work. on day #6.  whts goin on with everyone?
32,"hi ho, hi ho... it's off to work... "
33,.i won't be going to the a-day game if it's raining because of the pathetic no-umbrella-rule in bryant-denny. and it is raining now. 
34,just read all my tweets i sound like a dork haha  but that's just me
35,   crowe's personality and ego are the real heinous bloaty parts  wonder if quaid's a nice guy?
36,gonna go on cod waw with niall  wish me luck xx
37,"   hey, i will only in town until thursday, so alas can't do... "
38,"the prodigy tonight! stoked!  oh, burnt bagels are the way forward!"
39,doing tv easy crossword! 
40,      seems that i need a wishlist on my blog too!  i should start to blog something interesting also...
41,"   voters have been voting in rebellion since  march  election. before malaysians unite, perhaps change would be good "
42,"car looks better for a clean, apart from now i can see all the dents, scratches, stone chips...and all the bits i missed! "
43,   cheers for the link liam..yeah i've been trying dafont all afternoon but it seems to be offline at the moment 
44,it is am absolutely beautiful morning today 
45,good on you parky    
46,should not be crushing on a boy (with a nice smile) just 'cos he asked for my number... hmm... 
47,   nï¿½o te consigo mandar direct messages!!  ;error: maybe the recipient isn't following you! como ï¿½ possï¿½vel sr. tux?!! 
48,"   thanks!! i did make an aj vid... but, youtube took it down because of the song... copyright... "
49,just signed up and looking for followers. 
50,mapping out this hat...i have a large head. 
51,"   you are such a sucker for a compliment....  don't be stopping now, or you'll get chugged, and how!"
52,   they could also tweet       aroberts 
53,   at all the shows i have seen you have seemed relaxed on right on point  (in regards to iowa) you're always great jon!!
54,last day in lebanon drinking beer and bbq 
55,   sounds more like a land giveaway 
56,   i can't do it  i really wish i could im going out too 
57,doesnt want to leave nathan for a week  but i know it will probably be for the better.
58,it's raining in hyd. this proves one thing. even rain gods are on twitter!! 
59,"cursing consciousness, then catering....uhm, with my mom. i was hoping for some alliteration. "
60,   a good 3 cups in the morning espcially since i work for a radio station here in la thanks to coffee it keeps me awake 
61,'s cake has sunk  so off to learn more database theory in the sun and forget about attempts at domestic-goddess-ity...
62,"   it doesnt make me laugh either,my friend hacked my twitter im sorry "
63,weekends can be so ho-hum on the internet. 
64,"omg. it is official! after much denial and struggle, i am sick. "
65,"at school, can't believe twitter works here "
66,"   you should swing by the other coast, we're much nicer "
67,just enjoying the view while at work. sometimes u gotta love working outdoors     
68,"   hehe. maybe. a load of it will certainly be going towards driving. need to get a new driving license, i've lost mine "
69,   thank you for inspiring people to check out a great cause that they might not have otherwise known was out there 
70,   oh wow i just saw ur msg as well. i'm not the best  twittering 
71,"hey, #blockparty #notacon people does anyone have a cd or dvd that they wouldn't mind my using? my webserv breaks my compo entry. "
72,prelims next week.  bricking it.
73,"   thanks pat! funny thing is we've always pushed out, but true, lots of peeps don't notice  "
74,"   oooh, so sorry dear, sending you get well vibes &amp; many, big, warm ((hugs)) "
75,"   thanks  i love the candid style, much more like me"
76,      i should add that the firefox plugin 'power twitter' is highly recommended!     
77,"one more hour of painting and i'm done, for today anyway. i let my mini roller dry out &amp; it's making a right hash of rolling now "
78,my blisters!!!!!!!  got like 5 on both feet omgggg
79,is wondering what to do with her self tonight.. have to go out noone to go out with 
80,"good trip to shops, new mac mag to read with cuppa. almost lashed out on new lense for camera - decided it was too many hundreds "
81,gg - am in the morning - be warned - mikeyy is back - be careful - one of the ppl i am following is infected 
82,ready for a fabulous day! 
83,"is at work, with a boo boo on her knee "
84,   actually that sounds great. 
85,it's beautiful outside yet again....and again i can't spend the day playing in the sun 
86,"   nah, parking is always included in the rate  no extra fees here"
87,   there:   stfu nao and buy me a mouse bish! my icawns on trackpad rawck! 
88,"gah, precious boys and their missing of each other already. someone send spencer a jon, please "
89,    i wanted to see the next episode of dollhouse... going to have to watch bbc now instead...
90,"james lost - , a draw would have been fair "
91,"i wonder if i could post loads of stuff, then i would have a horde of dancing monkeys!! "
92,    that would be entertaining!  lol  i hope the hearing ends in your favor!  
93,"   whoa, i wanna add this app! haha. &amp; i'm good!  been busy going out, that's all. you?"
94,aephi picnic then some major studying at hillman 
95,   hope that kidneystone doesnt completely ruin your weekend 
96,   fantastic... i'll make another place setting. 
97,   hi ahmad. thanks for this...but flckr's blocked in uae...  ... no words... :-s
98,loaded up with words to type 
99,   oh dear mate - down  hope the nd half picks up for you!
100,"twit help: how do i remove twitter column from tweet deck. i set it to stay signed in, it's not budging and i dont want it there anymore "
101,"i'm off to remodel a kitchen, have a great day, twitterville.  and all my thanks to all the new followers, i appreciate all the attention "
102,"phew, home from the bicycle ride. .43 km / :9:3 no breaks (but a little uphill pushing "
103,"   see, i feel the same about sportscenter during football season.  i would rather see baseball! "
104,  please visit! 
105,"if ur a bb owner, lover, etc. go to 'berrytastic.com' great articles, forums, resources and more! "
106,   how fun! ah it'll get better 
107,baking an easter chocolate cake 
108,"   careful, i'm    age!  i thought you were waaaay older than us  "
109,   nope didn't understand much of that tweet ... i like cashmere though 
110,   i'm glad i found you! 
111,   i wake up  3:3!    i really should go to bed  9 but i never do. usually  or .    thanks! mac does wonders 
112,"   i really like following your tweets. you and your friends are very interesting. i follow them, too "
113,   lol it's good! how are u? i'm dani 
114,one of em jumped but later rescued  watch bbc...        
115,   here are 5:55   good morning!
116,"is one again, locked up in my bedroom, i'm really sick of spending all my time in here, i just want friends yo. "
117,"   i actually live in baton rouge... but it's fine here!  a little chilly, but nice. how are you?"
118,   i think i'll    t-krigs...definitely dinosaur lineage 
119,good morning tweeters!  i am off to watch the news
120,   history. i cant be bothered tbh. yer not on msn 
121,   hallmark its almost over tho 
122,    #kiwitweets hey jer! since when did you start twittering? 
123,finaly the test is over......... math test is very very very very very very hard 
124,"   i thought it meant you are my destiny too! cause of the song! hahaha, and yes, they're coming. "
125,is the dallas sky really as overcast as it appears to be? the sun escaped to the windy city 
126,red ant bites really smart 
127,"im lonely  keep me company!  female, bismarck - north dakota"
128,"listening to music, someone keeps deleting my fav songs "
129,   on the way via paypal.  
130,"   i'm nervous too, but nervous that being loaded up on cold meds will make me play in slow motion  sick=no fun"
131,   thanks for sharing this so we can all wrap this family in our prayers!  you are a wonderful guy! 
132,   i am up 
133,"   understandable, don't feel so bad  i'm here writing because of having become jobless some days ago "
134,my internet is somewhat working! i want seb 
135,"      luskey i gotcha  this is my fridge:   ...not sure it's photographed well though, arg."
136,   well don't because then    won't be able to take cute pictures of you.  lol
137,otherinbox 5% discount till 5th april for beta users  and three month free premium for all beta users  #mightbuyit #goodservice #oib
138,i looooove ace of cakes! catching up on it at work 
139,    whered u get the cool backround? mines just lik these lame clouds. luv it! 
140,huge coffee at work...hanging with dad this afternoon 
141,"preparing the move of an online-shop to on-rev. there is so much to pay attention to...   but after move, many things will be much easier."
142,   there is a hashtag #ivaa9 for the summit  i'm not cool either   couldn't go.
143,   i want to see sack and moomoo. 
144,   safe flight home! bet you'll be glad to see your babies. 
145,finished the hw... going to lay down till mason gets up from his nap! probably won't be long 
146,ready...set...go!!! 
147,   and    - i want the amanda palmer book too... was going to suggest we go thirds on it but i can't even afford that. 
148,got only 4 hours of sleep  off to pomona!
149,can't wait for his ftth nbn connection ... when all he can get upstream to    's is  kbps  
150,   ummmm i wanna come! 
151,"sindre tweets for the first time, but no one is paying attetion. oh well... "
152,   he is good! he's down in florida for mts. he graduates in late april...he really happy about this 
153,doing some daily quests in wow before the bulls playoff game.  i have a feeling this is going to be a long afternoon.  
154,done with breakfast. we're out of milk 
155,on my way  work. raining here in k.c  guess my k.c twiggs know that. lol  days till i'm 3 wtf!
156,"   lots done yesterday, but never got out!   leaving computer now to make sure today is not the same! anohter nice day here in ny!"
157,   i think you're funny 
158,    i have a phobia of owls tooooooooooooooooooo! 
159,   and waiting for sunrise in spring with an amazing colors 
160,   skin and bones/marianas trench &amp; top of the world/t.i 
161,"   * search at g, right click, save "
162,"   well, you do realize that its all your fault, don't you? what an inconvenience you are! "
163,"i will be studying, researching and writing all weekend long... shoot me! "
164,that was for my buddy    
165,it is poring rain in austin texas 
166,had a fun day with highschool buddies.  but came home to find one goldfish had died.    and i don't know what it died of!
167,   something special in return 
168,   ooh i love your jacket in this picture  tres chic.
169,   ((hugs)) sounds like you need them today... and a whole lot more 
170,   who's shira zer? 
171,"   i wish i had showtime  weeds, dexter and the avns? great network!"
172,   glad that you enjoyed it brother! it's been so much fun sharing the gospel. 
173,   haha. well i have more but i don't have to do anything but file the rest away or delete them. 
174,   could you allow for dms? i would prefer not to give my email out publically. thanks 
175,good morning tweets. sad day for me: i leave the promised land (plano) for home (indian trail) 
176,amazing night and great day...i love my heels!!! 
177,"   listen to eminems new song, that'll sort you out "
178,   treat yourself to a nice drop of cider now you're back 
179,   i see you are a fast learner lol  you went to no messages to a few pages full in just one night!  go head ms sonya! 
180,"even when the sun is not its shiniest, &amp; the ocean is not is sparkliest...life is better at the beach! (espc. jensen beach, fl)  "
181,"   #4conf is an international event with characters joining us from across north america, europe and the middle east so yes. "
182,is about to head out of the a... 
183,"important meetings happening all over the office, and i'm not needed in any of them.  yes!"
184,"wow! just back from my longest ever non stop run, 4 miles. now i truly know what sore legs feel like!  delighted tho"
185,"   yeah, i went to mine earlier, it was a peice of pie  no questions asked whatsoeverrr"
186,   that's a good one 
187,   no email. 
188,    oh no its raining there   like you said to me yesterday hop on a plane its only  hours to here.join me lol
189,why do only two of my friends have twitter! on monday ill try to convince my mates. no more hols then 
190,good morning! just helping otu to clean the house... 
191,today: . dentist  . downtown with my girlies 3. famous videoshoot 4. go back home &amp; work.
192,going to work.  it should be illegal to have to go to work this early on a weekend!
193,   good thing you didn't get a ticket!!!! 
194,my shoulders hurt..... it was cold and cloudy this morning 
195,is loving the sun  but is upset she cant make the picnic thurs 
196,   thanks! best wishes to you too 
197,"gotta go to work in about 5 or so. played gta: chinatown wars a lot last night. anyone who has a ds should get that game, it's that good "
198,i've just had a lovely lunch with lynds and now i'm heading round ants... good times  xoxox
199,   having to articulate a high-five = fail.   
200,   i am now 
201,having a better day  ?   
202,never expected chennai would lose the match  #ipl
203,   perhaps. i'll think about it 
204,is on the phone with lex and terry!! 
205,i don't like twitter. it sucks. i don't get it! 
206," sorry, i tried messaging you awake"
207,last night i like killed myself and my arm is all messed up now. haha i fell like flat on my facelong story how it happened such a klutz 
208,belgain waffles at the plate 
209,"   that song isnt there, "
210,"   yeah, there used to be solo in truro, that's closed down now "
211,is sitting in a coffee shop  the strip in ttown watching it rain! 
212,is very bored in work 
213,is stuck babysitting my sister again! 
214,   i really tried to recruit as many people as i could to follow you guys so you wouldn't lose $5.! 
215,   my tiny panther 
216,guess who's bizzzack! btw moving 3 pieces of luggage with  hands is haaaaard 
217,can't remember the website for programming my harmony remote 
218,"yes cousie star, may i propose the week after next? my school life will be officially over! am i am not excited about it. "
219,   kinda like status updates 
220,   great meeting you over coffee as well. maybe next time we meet we can have a pint. 
221,"baby, it makes me feel sick looking at those buzzing bees........................ "
222,"   holy heck--sign me up for a nap, too! take it easy, nettie. "
223,   66 words to go for me. 
224,"   have fun! i, on the other hand, have a boring day. i have an exam in the afternoon. "
225,   ;i've included a link to your nd post in my uptodate article; - thank you. you didn't have to  your utd post is a great summary.
226,   i concur w/ ur feelings about ppl 
227,   aw cool! i'm so excited 
228,watching arthur cos i'm way cool 
229,"don't say no, puh-leaseeeeeeeee!!!! "
230,"   only played one mission, but it's very very cool "
231,follow dtmafia !   go dtmafia !!! 
232,      o76 lol that video is hilarious. 
233,i hate sleeping alone 
234,   hmm. perhaps london expo? lots of buildings. dunno if that gives us much time. i'd have to prioritize my headcrab 
235,work work work! no play today 
236,"*remembers she has contaminated well water and has to find new housing.*  a big, dark, cloud just blocked that sunshine "
237,at the airport.  cant wait to get to spain.
238,   i'm a die-hard fender guy and i *still* think is awesome 
239,"wow !! finally my linux review got over , i am happy "
240,cannot wait till fridayyyy. so far theres about  of us going to the premeire! hahah 
241, no they are not.. stupid changes! why they did last year and not this year?
242,is taking care of his sick mother today. 
243,wants to watch house..now  &amp; got grey's season 4 on dvd 
244,   yes that would be a good thing.. do you think i can sweet talk them?  i have a gift!
245,"   hah!  round is a shape, indeed, and there are round parts of me i'd like to plane down.  "
246,                      thanks for spreading the love! 
247,   maybe because it doesn't come naturally? you could be the next shakespeare.. 
248,   i'm going to see that soon also   lets hope we enjoy it!
249,bah! delayed another half hour.  weather conditions in sfo
250,having nerves shredded by the atrocity known as vista.  gates and ballmer should really be executed for this evil garbage. 
251,   wow you guys are incredible!!! thanks for the follow 
252,   nonsense!  all steak looks perfectly su    ulent! 
253,"bad head, muscles aching  things to get done today: . write. . watch bsg. 3. try to not have cake."
254,   my own quote: ;life is not about me.  it's about helping and giving to others.; -david williams ...took 4 years to get that 
255,"    of course you have cable, so you'll be able to watch the sd version for quite some time. but we don't have to tell dh that. "
256,"   yes, i love jesus too  and: i love you!!!)"
257,cant believe they actually let. wish it was somewhere else tho..  but it's a start. sis isnt gonna be happy. oh well!
258,   thank you for the dl 
259,slept in for an extra 3  in alviso   
260,tonight bbq qith friends! going to get some steaks and totally looking forward to st bbq of this year 
261,"you send it.com is good, helpful, free, yay      "
262,happy about his friends  
263,   looks like ur info's changed  mikeyy  - i suppose you'll have to wait until it's fixed - wish they would fix the loop hole
264,"     - no, i found tht pic on google images "
265,"fast &amp; furious: new model, original parts  a really good film "
266,studying for a final...too bad it's beautiful outside 
267,   thank you! 
268,   i went with flo rida 
269,   he sure does i put him in the game and bought him some 
270,just walked the dog. everyone else is hot but im stone cold 
271,feeling like my life is slipping away from me with each minute spent in this waiting room not being seen and sent on my merry way... 
272,"   well, i'm glad it's you and not me.  "
273,the doctors are just after leaving 
274,mall today. broke though.  arrggg.
275,   so it;s fork terror not sppoooonnnn terrroorr 
276,good morning twitter 
277,on my first cup of coffee. can't wake up. 
278,"toothache is coming back, will be back in the dentist chair on monday! "
279,   thanks!  that just made my day. 
280,   giving you the check 
281,missing my family in the usa 
282,"   hola, betchfaceee. xd things are going great. what about you? "
283,      i'm going! enough pressure already! 
284,   i am still on twilight  got distracted from tv shows. just wanna know if i should read the nd when i am done with the first.
285,   i saw it when it was on broadway in ny and it was pretty incredible 
286,back to work on monday after  weeks off  
287,   thank you! 
288,almost finished lego indy - but have been grinding the last  achievements for hours 
289,...last night hilarious &lt;3 work all dayyyyy 
290,   thats sad  all good things must come to an end though 
291,i'm so shocked that i have lost 3.3 pounds. i guess walking does help after all. 
292,opening day for little league baseball and it is raining cats and dogs.......   
293,i love matt...so much 
294,   yeah but i can't drive to apple right now soo best buy's my only hope. i think i've only seen the black and white there 
295,good morning tweeterville!  looking forward to your tweets today   make it an awesome day.
296,   don't count me in that group since i find you to be interesting and adorable 
297,is going to the skating show today...again 4 this weekend 
298,"getting ready for work, - "
299,"   still a cheapskate, even when you're upside down!! "
300,heading home to    
301,check this video out -- where to buy kid's jewelry for easter day    
302,"i feel like im not really here, feels like im falling, drowning i got no idea why i feel like this "
303,"i'm filling out information for prs, it's horrible "
304,"   well, honestly, your baritone isn't built for camp.  "
305,   no you don't. canada sucks.  
306,"it's a beautiful day and i'm going to go in to work!    but, i'll enjoy the sun tomorrow, so it's okay."
307,back to the vet 
308,"grey morning is killing my happy buzz  i wish it were sunny. going somewhere soon, not sure where though."
309,"   ha well thats okay then, i'll make sure its in under 6 months "
310,"just realized, i only have 5 days till i have to get braces... "
311,"i cant change my biog from my mobile  gutted! need to change it, any ideas?"
312,i can see myself on laurens screen 
313,takin a nap. if u have my number don't hit me until later!!! i'm sleeeeeepy with a serious headache 
314,i wanted to sleep in! 
315,"   odd q but, do you serve food in your establishment? i always get to 3am and get ravenously hungry but can never find food "
316,and how hard do volvo make it to check spark plug gaps? i have a degree in engineering and it is still daunting for me. 
317,found  bugs  bluebird    for example ... very very basic bugs....
318,   you got a new place in west vil? now we can hang out actually. oh wait you work too much 
319,"okay, i'm done playing dj.   getting ready for the day-going to list some stuff online today."
320,"   oh, you're completely prepared. wait, what about a beverage?  "
321,   thank you! 
322,   i sent mine earlier in the week. had to get it sent! still traumatised by it  i'm avoiding starting tma6!!!
323,      omplishd maybe it was b/c i saw it at midnight last night?  and i don't know carter's story that well...not a true fan i guess! 
324,is round perry's gaff with chelssss 
325,the builder is being so cute with the cat  aw!
326,i so don't understand what i'm supposed to do on twitter but here i go      
327,   today isn't looking much better in houston. sorry 
328,   naw...i threw it to the floor cuse lefty told me to close the freakin door behind me.   
329,goes without saying. funnest night of my life just ended 
330,   so please explain it to me. i want to know. make it make sense mimi 
331,and of course john oates (off of hall &amp; oates) happy birthday 
332,"      utcheon i love open-minded, tolerant peeps, too. looking forward to reading your tweets from snowy ohio here in balmy fl. "
333,i hate spring. i found a centipede that could scare the living daylights out of hercules and ant-squashing has become a regular hobby... 
334,coffe at the cup with sandi. it's a rainy morning though 
335,prepay for my bm lisan karangan now... 
336,   what and it missed it this is a travesty.   
337,   happy tuesday!! 
338,art is calling! easter almost over school on tuesday 
339,its a beautiful morning 
340,"just tried the 'audio captcha' while posting on craigslist, and i swear the sound will haunt my dreams tonight.  crazy stuff... "
341,. and still nothing 
342,"   what? you so need to put that on the site. you know, cause us bloggers love free wifi!! awesome. "
343,   early morning beginners luck! 
344,   i am good! i de-twittered myself this weekend too. i feel out of touch ha. trying to catch up with some people 
345,   oh kim - trust is my main issue! would love to hire someone but folk just want ya goodies! 
346,is nt understanding the twitter phenomenom 
347,   herron - cheers! -       - it's felice varini 
348,"   yes, i am.  but my actual daily amount is low, comparatively. just necessary."
349,"   explain to me, this conspiracy against meeee.. yeah a little paramore quote there  x"
350,   you're welcome - glad it was useful! 
351,im not ready for today 
352,morning! i have slacked for two days in twittering! but here i am again. just finished a good run  ready to start a new day.
353,"i think im fallin in like with my new lg lotus...  im not quite over my samsung a9 [best freakin phone ever!], but this one's aiiight. "
354,   exactly. bad averts.  and they should have ads for dq at night when it is closed. that is cruel and unusual punishment
355,boom i need entertaining. sunny day... on crutches + blister on hand = me not going anywhere  x
356,woohoo! 7 degrees here in sunny pennsylvania today - should be riding the harley - not working - but .... had to work 
357,   liking the new and improved avatar 
358,laying on the couch with a verry painfull back... wishing someone would know how to loose this pain!!!! ouwieeeeeee!!!! 
359,"well, i need to go see what other messes i can make today, lol..... talk to you all later "
360,some people tweets a lot.thatï¿½s cool...i guess 
361,"emily is happy because of the new parenting plan, cortney. "
362,"wow, that was a great nap- wonder if the heart attack and the a    ident was just a dream? um... no "
363,last day of vacation.  going to the outlet mall. hopefully i won't go overboard on cute girly things!!
364,building email templates for outlook 7 is a nightmare. 
365,"   alright, wonderful "
366,"my sisters's dragging me to go upstairs already. so, good night. i wish i had a computer in my room. "
367,   i have a week and a day 
368,so. i kind of like bamboozled myself. the first good morning wasn't official. i woke up from a nightmare of the beyonce experience. 
369,listening to music! 
370,"mmm, watching dancing with the stars!!! i'm in my happy place-gilles is soo yummy  &lt;3"
371,"   i wish, but no more tickets  we'll watch it tho"
372,is al twittered out 
373,just saw the pilot for caprica. it was excellent. have to wait ages for show to start next year 
374,"   no, i still haven't figured it out "
375,chillin chillin my kitten hurt her foot 
376,it's going to be 7 degrees in salt lake city today 
377,"   alf!!! i dvr that, but my mom always deletes it for her cops episodes!  he was my fav!"
378,   that would b fun 
379,such a sunny day 
380,"   welcome, explore, enjoy! "
381,   and we are blessed that you have come back into our lives again  thank you!!!!!
382,fringe is back today     
383,   isn't it interesting how someone's sense of style can influence and inspire your fashion choices? 
384,just woke up. off  day. bout  make breakfast and enjoy my day.  
385,   poor darling  have soup and rest!
386,can't find a good pic for my twitter 
387,"   i'll see if i can find out. appreciate your help. if i find out, i'll certainly let you know. "
388,"   hey demi! r u there?  if u r, please reply "
389,so bored 
390,   - more info on the way about the program mr murray! 
391,got to finish my hw today  almost done.lol.
392,flight delayed from 9: to :34     
393,off to the city to buy paint. 
394,"   another try by the blues again, not good!!!!, gloucester have no chance now "
395,"   if we end up out there, i'm sure we'll go. "
396,   i can't believe how real those carrots look!! the easter bunny will be happy. 
397,school resumes this monday. gaaah. 
398,"wish i was in florida with everyone, but instead i'm stuck in rainy kc "
399,waiting in the cold for a manager to come 
400,"   love links to interesting things/tutorials, and then of course my show addictions "
401,"      it went to school with kid of reddoor. when they get home, then photo "
402,   i would have loved to organized one but do not have the technology 
403,"   hey, checking in....lemme know whats up "
404,right am off for my java fix who wants one? 
405,"pancakes &amp; waffles for breakfast  sitespect, inc. today "
406,    have a look at this - it might explain    
407,   i have to study  exams are in 4 days 
408,     - love that movie. and song that is playing at this scene. 
409,booked a hair appointment - i'm having an organised day 
410,   man u are one busy girly 
411,   i've put your music on my ipod. such good company on my way home 
412,   well that sounds like a good day when  you get to work with your best friend 
413,"has a bad tummy ache.  go away, please!"
